,ID,Region,Main Source of Income,Agricultural Household indicator,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Walls,House Floor Area,House Age,Number of bedrooms,Electricity,Total Household Income,Total Food Expenditure,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle
3153,1429,B,Wage/Salaries,0,Female,63,Widowed,Self-employed wihout any employee,Extended Family,6,3,1,1,Single house,Strong,46,6,2,1,1491460,158031,50736,35730,18455,27180,10090,7179,7500,780,0,14215,97902,51000,52938,57642,7422,24100,90204,1932,0,480819,2,2,0,2,1,1,0,0,3,0,1,0,1
30402,496,M,Other sources of Income,0,Female,83,Widowed,,Extended Family,6,0,2,0,Single house,Strong,90,15,3,1,1488210,185413,31228,19200,34280,15607,9864,8127,49632,11222,0,33790,73020,36000,11662,30000,16794,14500,123780,197500,150830,150830,2,1,0,2,1,1,1,0,4,2,0,0,2
39848,93,Q,Wage/Salaries,0,Male,61,Married,Worked for government/government corporation,Single Family,4,0,0,4,Single house,Strong,250,25,3,1,1487906,255930,42978,25506,61512,47674,7450,11520,39000,4860,0,47425,127890,87000,88520,64140,14280,0,144300,40000,0,0,2,2,1,1,1,3,1,0,8,2,1,0,1
36069,3815,N,Enterpreneurial Activities,2,Male,58,Married,Employer in own family-operated farm or business,Extended Family,9,0,3,3,Single house,Strong,60,45,3,1,1486781,419108,55249,28200,88936,22298,8970,9419,148590,8736,0,15720,242100,162000,19070,32292,44400,2850,60810,20000,0,727852,2,2,0,1,1,2,0,1,6,2,0,0,1
11310,233,F,Wage/Salaries,0,Male,40,Married,Worked for private establishment,Single Family,5,0,2,2,Single house,Strong,70,30,3,1,1486257,342921,34554,20682,26572,18412,6678,7947,214915,7254,11400,60300,184440,90000,22610,129222,46482,200100,88422,52500,0,0,3,0,1,1,1,5,3,1,5,3,1,0,0
15501,1187,G,Enterpreneurial Activities,0,Male,48,Married,Employer in own family-operated farm or business,Single Family,7,0,3,0,Single house,Strong,180,11,2,1,1481908,249960,44522,34500,48793,28305,5069,16676,63400,988,0,10295,66900,36000,950,51492,21360,249500,29280,18730,0,1442508,1,1,1,1,0,1,1,0,4,1,1,0,0
37300,916,O,Wage/Salaries,0,Male,57,Married,Worked for government/government corporation,Extended Family,13,0,2,5,Single house,Strong,450,19,7,1,1481576,254635,70070,46258,50740,34331,10100,10632,50100,1404,0,35707,231120,120000,72889,42156,33000,56200,120150,23000,0,168202,3,0,0,2,1,0,2,0,6,5,1,0,0
33684,1430,N,Wage/Salaries,2,Male,76,Married,Worked for government/government corporation,Single Family,4,0,0,2,Single house,Strong,150,30,4,1,1480400,156786,22130,12740,24320,11538,6529,3445,62400,0,0,8100,335628,240000,75900,74370,35604,70000,27516,2000,0,0,2,1,0,1,1,1,1,1,4,2,1,0,0
33467,1213,N,Other sources of Income,2,Female,66,Single,,Single Family,1,0,0,0,Single house,Strong,58,23,2,1,1480200,65596,12364,6220,1580,9436,5620,6511,11600,0,0,1100,218460,180000,37400,10932,7746,0,49254,3500,0,0,1,2,0,1,1,1,0,1,0,0,1,0,0
33850,1596,N,Wage/Salaries,2,Female,59,Married,,Single Family,4,0,0,3,Single house,Strong,430,25,3,1,1480000,392510,46379,20020,45806,48450,13672,11871,177200,1359,0,22625,209400,132000,10000,88398,41094,0,71460,19000,0,0,3,3,1,1,1,2,2,1,5,2,1,0,0
5111,1605,C,Enterpreneurial Activities,0,Male,39,Married,Employer in own family-operated farm or business,Single Family,6,0,2,2,Single house,Strong,320,55,2,1,1477965,478203,41148,18100,61021,74213,24331,23178,125000,0,0,82000,160302,90000,84540,34698,45594,12650,69780,10000,0,1216000,2,1,2,3,1,1,1,1,4,4,1,0,0
16658,125,H,Other sources of Income,0,Female,55,Married,,Single Family,4,0,0,1,Single house,Strong,322,26,5,1,1477098,185749,19384,15000,35024,21430,7606,4936,74859,0,0,17020,125760,51000,49132,72000,20400,459750,15822,0,0,0,3,0,1,1,1,1,2,1,5,1,2,0,1
32559,305,N,Wage/Salaries,0,Male,67,Married,Worked for private establishment,Single Family,6,0,0,2,Single house,Strong,105,45,6,1,1476050,277465,27122,14933,20099,21090,12034,6904,129800,468,1586,26400,468720,270000,31103,35118,43194,103000,60750,5000,0,32050,1,1,1,1,1,1,1,1,5,2,1,0,0
33681,1427,N,Wage/Salaries,2,Male,32,Single,Worked for government/government corporation,Single Family,2,0,0,2,Single house,Strong,150,15,4,1,1475211,122336,8384,4791,25162,7956,5000,4121,53210,1092,3620,17100,343386,300000,3156,72000,17400,0,36690,2000,0,0,2,1,1,1,1,2,2,0,2,2,0,0,0
11591,514,F,Enterpreneurial Activities,0,Male,70,Married,Self-employed wihout any employee,Single Family,2,0,0,0,Single house,Strong,120,10,3,1,1474405,275128,30863,17900,30260,57358,24910,14065,70200,0,0,9900,116250,78000,14904,120372,32400,0,19794,54000,69900,1344988,2,1,1,1,1,1,2,0,2,0,1,0,0
35544,3290,N,Other sources of Income,2,Male,30,Single,Worked for private establishment,Single Family,4,0,0,1,Single house,Strong,80,6,2,1,1473966,172637,19486,11844,20454,6612,4464,5855,44365,416,720,43796,402612,300000,49465,80454,31788,107710,29910,4139,0,200109,2,0,0,1,1,2,1,1,2,1,1,0,0
11579,502,F,Wage/Salaries,0,Male,51,Married,Worked for government/government corporation,Extended Family,7,0,1,4,Single house,Strong,100,17,4,1,1472420,267358,46218,30888,42713,17222,2860,8342,210816,630,5430,55979,196662,105000,9430,75582,36354,225700,129942,12000,0,0,4,2,1,2,1,1,2,1,6,2,1,0,0
33882,1628,N,Wage/Salaries,2,Male,69,Widowed,Worked for private establishment,Extended Family,9,0,1,7,Single house,Strong,123,22,4,1,1470942,373789,34259,22590,62752,21616,17980,14886,165600,0,0,10698,223374,132000,204,199572,58110,23200,72156,5000,0,0,1,1,1,2,3,0,2,0,1,4,0,0,0
36378,4124,N,Other sources of Income,2,Male,43,Married,Self-employed wihout any employee,Single Family,5,0,4,0,Single house,Strong,120,16,4,1,1467700,218768,39742,23400,28092,5946,5114,8300,80550,180,2715,42890,321120,240000,4566,70242,41484,90800,49728,0,0,295000,2,2,1,1,1,2,1,1,8,3,1,0,0
11818,741,F,Other sources of Income,0,Female,50,Divorced/Separated,,Single Family,2,0,1,0,Single house,Strong,450,9,5,1,1465980,341566,72937,33000,81740,26586,17462,16370,34815,29380,0,37160,285360,132000,54490,111480,8394,36000,36108,65000,0,0,5,1,2,3,1,2,1,0,2,6,1,0,1
13615,2538,F,Enterpreneurial Activities,0,Male,49,Married,Employer in own family-operated farm or business,Extended Family,8,1,2,0,Single house,Strong,180,17,7,1,1463220,131446,27169,21960,27712,10282,1415,4592,35750,95,16290,10179,117570,72000,6295,29064,25302,33900,23034,13000,0,1221120,3,1,1,1,1,3,2,1,5,4,1,0,0
8166,1809,D,Wage/Salaries,0,Male,57,Married,Self-employed wihout any employee,Single Family,3,0,0,2,Single house,Strong,81,14,4,1,1462529,211668,54130,25200,26048,39912,12155,16467,6000,2720,0,45910,121350,60000,14500,19134,15600,109000,74244,15600,145450,602666,2,0,1,1,1,2,1,0,4,2,1,0,2
17709,1176,H,Wage/Salaries,0,Male,54,Married,Worked for private establishment,Single Family,5,0,0,4,Single house,Strong,252,5,5,1,1461952,298610,45224,23850,28420,23374,9299,6603,155760,2730,0,61384,88320,60000,3477,100398,36804,224500,138480,0,0,0,1,1,1,1,1,0,1,1,5,4,1,0,0
22528,1833,I,Wage/Salaries,0,Male,50,Married,Worked for government/government corporation,Extended Family,4,0,1,2,Single house,Strong,130,16,4,1,1459280,210780,40996,11500,16268,19024,7067,5149,72630,1260,0,60530,299406,240000,10550,80262,26400,31800,72246,17000,0,0,2,1,1,1,1,2,2,1,5,3,1,0,0
31909,2003,M,Other sources of Income,0,Female,68,Widowed,,Single Family,2,0,0,0,Single house,Strong,50,31,1,1,1455666,229587,24228,11295,22008,13160,9487,11154,105680,0,0,40546,57960,27000,12471,20838,7356,39340,15642,16020,1250,1250,1,1,0,1,0,0,0,0,3,0,0,0,0
36075,3821,N,Wage/Salaries,2,Male,39,Single,Worked for private establishment,Single Family,1,0,0,1,Single house,Strong,50,15,3,1,1454000,252278,3790,0,0,1224,740,0,232960,0,0,31500,219600,150000,4860,96120,30600,0,73416,69000,0,0,1,1,1,1,1,2,1,0,2,1,0,0,0
17598,1065,H,Other sources of Income,0,Male,71,Married,,Single Family,3,0,0,0,Single house,Strong,130,38,2,1,1451482,228594,35791,11412,30152,21700,15640,10815,58000,0,0,27000,152850,96000,63670,161982,31200,0,25734,36500,0,678482,3,1,1,1,0,3,2,1,2,1,0,0,0
31002,1096,M,Other sources of Income,0,Female,69,Widowed,,Single Family,3,0,0,0,Single house,Strong,112,16,3,1,1448398,81212,22751,18720,11035,13947,4515,6978,1800,4775,0,680,141186,120000,5400,6612,9540,0,4524,4000,29200,52730,1,1,1,1,1,1,0,0,2,1,0,0,1
9702,873,E,Wage/Salaries,0,Male,57,Married,Worked for government/government corporation,Extended Family,10,1,3,4,Single house,Strong,60,13,6,1,1446093,193361,77918,56005,10386,21854,10804,4190,28350,450,260,37158,73638,30000,29900,91890,23700,5400,123114,35000,0,72000,2,1,1,2,1,0,4,0,6,4,1,0,1
34176,1922,N,Wage/Salaries,2,Male,56,Married,Self-employed wihout any employee,Extended Family,7,0,0,3,Single house,Strong,200,35,5,1,1443560,347897,18794,15100,36960,21480,1828,5575,232570,0,0,4635,147180,108000,84344,53670,31236,2000,105780,10000,0,111498,2,1,1,1,1,0,0,1,1,5,0,0,0
3000,1276,B,Wage/Salaries,0,Male,73,Married,Worked for government/government corporation,Single Family,4,0,0,2,Single house,Strong,210,36,3,1,1442580,180175,29093,20400,16238,26492,6477,9461,77700,150,0,14550,125682,84000,36413,87432,19002,0,65712,60000,115000,115000,2,1,0,1,1,2,2,1,4,2,1,0,0
20442,3909,H,Enterpreneurial Activities,0,Female,58,Divorced/Separated,Employer in own family-operated farm or business,Extended Family,4,1,0,2,Single house,Strong,120,13,3,1,1442057,245558,29353,17299,27145,16168,6655,9033,50300,1976,11222,22930,90762,39000,7874,48600,36702,0,56550,7000,0,717622,2,1,0,1,1,1,1,1,3,3,0,0,0
35501,3247,N,Wage/Salaries,2,Male,58,Married,Self-employed wihout any employee,Single Family,9,1,0,5,Single house,Quite Strong,116,15,5,1,1441922,269285,35558,23370,42656,27273,4464,10476,101420,448,0,7600,124230,72000,34919,20988,25434,0,65856,2807,0,139518,3,1,1,1,1,2,0,0,8,1,0,0,0
449,450,A,Enterpreneurial Activities,0,Male,53,Married,Worked for private establishment,Single Family,5,0,2,2,Single house,Strong,175,29,5,1,1440580,79941,17660,13200,16878,7484,1530,8255,4860,168,0,9630,104460,75000,350,25812,10794,63500,25518,8000,0,1151780,2,0,0,1,0,0,1,0,5,1,0,0,0
17605,1072,H,Enterpreneurial Activities,0,Male,38,Married,Employer in own family-operated farm or business,Single Family,5,1,2,1,Multi-unit residential,Strong,60,11,3,1,1439139,234832,33883,25740,22308,17152,17730,4368,71600,0,0,61767,124788,60000,3668,94098,40200,18400,50652,0,0,1091150,2,1,1,1,1,2,2,1,4,5,1,0,0
20338,3805,H,Wage/Salaries,0,Female,66,Widowed,,Extended Family,5,0,2,2,Single house,Strong,160,8,5,1,1438200,218837,22428,11320,31650,29470,9660,8971,62440,0,0,21420,327318,240000,43208,274242,36600,125400,67062,10200,0,0,3,2,1,1,1,2,0,0,3,3,1,0,0
11468,391,F,Enterpreneurial Activities,0,Male,27,Married,Worked without pay in own family-operated farm or business,Single Family,3,1,0,0,Duplex,Strong,95,26,2,1,1437600,371791,28506,17363,43262,37050,16220,20180,93000,2258,15600,28274,115800,0,98596,33000,35988,0,23502,55000,0,1430000,2,0,0,1,1,2,1,2,2,2,0,0,2
35624,3370,N,Other sources of Income,2,Male,62,Married,,Single Family,4,0,0,0,Duplex,Strong,58,29,2,1,1436200,143090,20996,11550,22609,18464,13668,12097,16120,2170,0,30906,221226,162000,4636,117492,41670,0,106146,953,0,0,1,1,1,1,1,1,0,0,3,1,0,0,0
35876,3622,N,Wage/Salaries,2,Male,82,Married,,Extended Family,5,0,0,2,Single house,Strong,400,47,5,1,1433732,167273,28608,16236,20339,12195,10306,5895,59025,910,1560,11999,441000,360000,27812,28500,20988,0,71808,0,0,0,2,1,1,1,1,1,1,1,5,1,0,0,1
16951,418,H,Wage/Salaries,0,Male,53,Married,Worked for government/government corporation,Single Family,3,0,0,3,Single house,Strong,72,23,2,1,1432120,143458,24995,14098,15771,11240,8741,5806,60500,0,0,21850,87420,51000,350,24000,22398,0,105270,139000,0,0,2,1,0,1,1,1,1,0,6,1,0,0,0
6443,86,D,Enterpreneurial Activities,0,Male,32,Married,Self-employed wihout any employee,Single Family,4,1,1,0,Single house,Strong,60,25,2,1,1431100,315543,40974,13128,41008,17741,22353,12162,134360,2230,0,95291,78120,36000,38693,180000,42894,33790,79770,58400,0,1395100,2,2,0,1,0,1,2,0,5,1,0,0,0
662,663,A,Other sources of Income,0,Male,79,Widowed,,Extended Family,7,1,0,5,Single house,Strong,210,33,8,1,1427462,120168,12478,5620,13700,11368,3891,8820,38000,445,0,2568,237930,204000,31335,12186,20400,46500,18264,5900,0,73000,6,0,0,1,2,0,0,0,9,5,1,0,1
30754,848,M,Other sources of Income,0,Female,64,Widowed,,Extended Family,9,0,3,2,Single house,Strong,120,12,5,1,1426285,237884,44062,27690,36740,33508,8788,18075,43100,0,0,12300,309300,210000,15998,39984,40338,13300,40716,30000,0,305916,3,1,0,2,1,3,2,1,9,5,0,0,0
33614,1360,N,Wage/Salaries,2,Female,57,Widowed,Worked for government/government corporation,Single Family,3,0,0,3,Single house,Strong,120,30,3,1,1426100,215064,29827,20400,19035,13294,3838,7440,114150,10480,2080,37569,259740,210000,39935,136416,50328,0,58122,27000,0,0,2,1,1,1,1,2,1,1,3,3,0,0,0
35631,3377,N,Enterpreneurial Activities,2,Male,34,Married,Employer in own family-operated farm or business,Extended Family,6,0,2,0,Multi-unit residential,Strong,72,13,3,1,1425624,296547,71052,37752,47939,64418,7675,8799,54555,1380,4380,27260,157260,102000,22096,54906,41994,83400,101100,6700,0,767104,1,0,0,1,1,1,0,1,5,0,1,0,1
25757,634,K,Other sources of Income,0,Female,65,Widowed,,Single Family,4,0,1,1,Single house,Strong,90,16,5,1,1424550,85103,22566,19480,8820,12450,2986,4143,16202,0,806,3615,360726,270000,1000,24114,23580,47050,39954,8000,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0
23942,706,J,Other sources of Income,0,Female,54,Married,Self-employed wihout any employee,Single Family,6,0,0,1,Single house,Strong,240,26,3,1,1423700,155691,27152,17131,67194,15229,5465,4575,10910,240,0,23918,139812,78000,229928,32562,35214,15600,90948,28000,0,227760,2,1,0,2,1,1,1,1,5,2,1,0,0
17108,575,H,Enterpreneurial Activities,0,Male,53,Married,Employer in own family-operated farm or business,Single Family,4,0,0,0,Single house,Strong,150,4,3,1,1422800,115119,22641,18120,16684,10166,12964,3895,31280,0,6335,25900,94200,18000,175,27750,30204,32200,18492,110000,0,1404800,1,1,0,1,1,0,0,0,4,1,1,0,1
23940,704,J,Other sources of Income,0,Female,52,Married,Worked for private establishment,Extended Family,11,3,3,2,Single house,Strong,120,23,5,1,1421465,252898,74064,50200,27403,18989,6161,6566,49615,0,0,33876,158286,45000,47428,81600,46392,127908,134082,27500,0,17522,4,1,1,1,1,3,1,1,1,6,2,0,2
24538,1302,J,Wage/Salaries,0,Male,34,Married,Worked for government/government corporation,Single Family,2,0,0,1,Single house,Strong,150,20,4,1,1420300,285914,25973,13848,20400,15120,3580,1790,194500,942,0,23000,189600,120000,15090,216000,24000,0,55686,0,0,0,2,0,0,1,1,1,2,0,2,3,1,0,0
11254,177,F,Other sources of Income,0,Female,58,Widowed,Self-employed wihout any employee,Single Family,2,0,1,0,Single house,Strong,65,15,3,1,1418900,248641,33299,10545,38878,11322,19750,22451,56900,0,0,101190,78318,54000,21815,22902,6300,16910,23454,43200,0,21000,1,1,1,1,1,1,0,0,2,3,1,0,1
39319,1686,P,Enterpreneurial Activities,1,Male,45,Married,Self-employed wihout any employee,Single Family,4,0,1,1,Single house,Strong,36,15,3,1,1414610,106996,23966,22200,19050,12576,1515,3605,29440,4962,14480,8500,79272,42000,7350,53928,15600,21530,13170,12000,1157510,1289010,2,1,1,2,1,0,1,0,4,1,1,0,3
11081,4,F,Other sources of Income,0,Male,67,Married,,Single Family,3,0,0,0,Single house,Strong,100,18,3,1,1411792,221205,28320,12105,54242,54798,15150,12123,21000,5670,0,4450,126420,90000,81410,50448,19416,351700,9540,7500,0,0,3,3,2,1,1,3,1,0,3,3,1,0,0
28677,1108,L,Other sources of Income,0,Male,60,Married,,Single Family,2,0,0,0,Single house,Strong,300,12,2,1,1410240,132462,52671,13183,19328,5386,5514,9100,8400,2195,0,950,274344,150000,1500,768,25368,0,6342,0,0,0,1,1,0,1,1,1,0,0,3,2,1,0,0
632,633,A,Enterpreneurial Activities,0,Male,33,Married,Worked for government/government corporation,Single Family,4,2,0,1,Duplex,Quite Strong,130,41,8,1,1409663,96123,16410,8180,7435,9048,5000,9255,9100,0,0,4619,165960,144000,300,91410,9000,0,15000,5000,0,924000,1,0,0,1,1,0,1,0,2,0,1,0,0
14120,3043,F,Enterpreneurial Activities,0,Male,50,Married,Employer in own family-operated farm or business,Single Family,4,0,0,0,Single house,Strong,520,9,4,1,1408462,324321,40203,18748,42480,35068,15830,20950,65400,1820,9050,50610,497238,360000,7350,70032,24900,49200,110766,93000,0,880302,2,0,2,3,1,4,2,1,4,2,1,0,2
20044,3511,H,Wage/Salaries,0,Male,37,Married,Worked for private establishment,Single Family,6,2,1,2,Single house,Strong,180,11,3,1,1407000,285544,24969,10581,34274,7100,11767,6664,96450,0,0,14925,154200,108000,87290,68004,34938,11600,54492,37432,0,0,3,2,1,1,1,1,2,1,4,2,1,0,0
20286,3753,H,Wage/Salaries,0,Male,57,Married,,Single Family,3,0,0,2,Single house,Strong,130,29,3,1,1405774,321531,11420,7500,21210,14010,9050,5582,241300,0,0,36695,116802,78000,38370,108432,42000,0,97446,30050,0,0,3,2,1,1,1,0,2,0,3,1,0,0,0
29764,2195,L,Other sources of Income,0,Female,43,Married,Employer in own family-operated farm or business,Extended Family,3,0,1,0,Single house,Strong,216,12,3,1,1403323,127263,31792,14844,19087,10968,3847,8822,15600,438,0,22260,115380,78000,67448,48234,24114,170820,131814,19000,0,63500,3,2,1,1,1,1,1,1,3,3,1,0,2
7623,1266,D,Other sources of Income,0,Male,72,Married,,Extended Family,4,0,2,0,Single house,Strong,150,18,6,1,1401675,287108,53168,24802,28136,31138,15504,15802,44400,0,0,58150,271440,108000,41916,65688,21198,70600,24162,55000,0,0,3,3,1,2,1,3,1,1,3,1,3,0,0
28006,437,L,Enterpreneurial Activities,0,Male,36,Married,Employer in own family-operated farm or business,Extended Family,3,0,0,0,Single house,Strong,300,45,4,1,1398798,183561,24939,17100,37316,20360,9830,7634,56000,0,0,2750,198978,130800,210200,128898,45798,11500,26556,50000,0,1077998,3,2,0,1,0,3,3,0,5,3,2,0,2
18429,1896,H,Wage/Salaries,0,Male,52,Married,,Extended Family,8,1,1,4,Single house,Strong,68,23,3,1,1395086,393774,48828,26100,76936,41326,8782,14132,152340,0,0,38200,152298,54000,7228,165054,40788,50000,73734,7000,0,0,4,2,1,2,1,2,3,1,10,5,1,0,0
20040,3507,H,Enterpreneurial Activities,0,Male,59,Married,Employer in own family-operated farm or business,Single Family,3,0,0,1,Single house,Strong,210,19,3,1,1393140,186347,25438,13350,18599,24300,14396,7098,56700,0,0,67700,386940,300000,15235,164004,54000,0,61668,20000,0,786000,2,0,0,1,1,1,3,1,3,2,1,0,0
11755,678,F,Wage/Salaries,0,Male,60,Married,Worked for private establishment,Single Family,9,1,0,6,Single house,Strong,150,25,4,1,1392940,227133,34926,24000,23941,21651,7010,16395,75466,0,0,14650,240720,90000,1740,23928,50094,17000,99954,200,0,78940,2,1,1,1,1,2,1,0,8,5,1,0,0
19998,3465,H,Wage/Salaries,0,Male,46,Married,Worked for private establishment,Single Family,2,0,0,1,Multi-unit residential,Strong,40,20,2,1,1391500,202177,27178,10530,20373,13954,9122,8362,98800,7300,21720,14960,84054,0,22849,86580,17970,0,35436,20500,0,0,1,1,1,1,1,1,1,0,2,2,0,0,0
33878,1624,N,Wage/Salaries,2,Male,42,Married,Worked for government/government corporation,Extended Family,6,0,2,3,Single house,Strong,198,10,3,1,1390422,224450,41850,27800,31270,23300,6630,10614,70800,1820,0,22886,166500,120000,3240,73398,33000,157000,145374,27000,0,0,2,0,0,1,1,1,1,1,3,1,0,0,0
20439,3906,H,Wage/Salaries,0,Male,64,Married,,Single Family,5,0,0,4,Single house,Strong,120,28,3,1,1389916,249188,37701,31890,14553,13972,5510,6240,144480,0,0,1450,102300,39000,15331,91980,40980,0,55596,6500,0,0,2,0,0,1,1,1,1,1,5,3,1,0,0
19219,2686,H,Other sources of Income,0,Female,66,Divorced/Separated,,Single Family,2,0,0,1,Single house,Strong,240,30,2,1,1387500,82068,11052,7240,4638,2849,3915,1630,47670,0,0,14899,108018,84000,47870,28398,20892,0,42558,0,0,0,1,1,0,1,1,1,1,0,2,2,0,0,0
35457,3203,N,Wage/Salaries,2,Male,63,Married,Worked for private establishment,Extended Family,6,0,1,5,Single house,Strong,75,26,3,1,1386450,152196,17505,12200,25145,7009,2056,5103,76830,2910,9050,19748,166122,120000,31368,55650,23832,17500,47598,12250,0,0,2,1,1,1,1,1,1,0,5,3,1,0,0
20025,3492,H,Other sources of Income,0,Female,63,Single,,Extended Family,2,0,0,0,Single house,Strong,120,22,1,1,1386390,59660,10000,6422,4520,13812,3916,8283,4510,0,0,70,115020,96000,80640,3642,10290,0,9456,0,0,0,2,1,1,1,1,1,0,0,2,2,0,0,0
33980,1726,N,Other sources of Income,2,Male,29,Single,Worked for private establishment,Single Family,1,0,0,1,Single house,Strong,100,25,5,1,1385000,91594,14612,9334,13308,6828,4560,3341,31800,988,0,13750,497598,420000,9714,52002,39498,0,15468,28000,0,0,3,2,1,2,1,2,0,1,2,1,1,0,0
11665,588,F,Other sources of Income,0,Female,51,Married,,Single Family,5,0,1,0,Single house,Strong,120,12,2,1,1383590,208111,23811,14145,28175,16397,5143,5665,90200,0,0,9480,105456,60000,9730,51288,5640,136500,26850,16500,0,0,2,1,0,1,1,1,1,0,5,1,0,0,0
25606,483,K,Wage/Salaries,0,Male,58,Married,Worked for private establishment,Single Family,7,0,1,6,Single house,Strong,80,24,3,1,1381146,214931,36502,14928,30640,28513,3349,11840,85998,2250,1448,22886,131334,0,26822,162336,78000,26800,39576,17500,0,0,1,0,0,1,1,2,2,0,5,2,1,0,0
34029,1775,N,Wage/Salaries,2,Male,59,Married,Worked for private establishment,Single Family,4,0,0,3,Single house,Strong,160,15,3,1,1378394,182814,28524,23175,17410,8190,2981,4081,94200,1768,2896,53755,268020,180000,18500,70254,48600,0,153780,50180,0,0,2,1,1,1,1,2,1,1,3,3,1,0,0
19161,2628,H,Other sources of Income,0,Female,56,Married,,Extended Family,4,1,0,2,Single house,Strong,120,28,5,1,1377458,215552,20898,9920,33468,28312,11529,7785,58060,0,0,15749,136500,72000,4512,49518,28398,0,28518,52500,0,60998,5,3,1,1,1,3,1,1,4,2,1,0,1
18683,2150,H,Wage/Salaries,0,Male,74,Married,,Single Family,5,0,0,2,Single house,Strong,150,40,3,1,1376906,180477,28434,14170,24084,50572,18050,11090,134500,132,0,17850,85962,72000,28928,32700,14094,0,29352,5000,0,0,3,1,0,1,1,0,1,1,3,1,1,0,0
21933,1238,I,Other sources of Income,0,Male,86,Widowed,Self-employed wihout any employee,Extended Family,7,1,0,3,Commercial/industrial/agricultural building,Strong,350,115,4,1,1375001,281872,41885,28089,31408,19572,8355,10240,114880,1875,780,29674,217800,180000,189902,90210,18888,6200,37368,0,0,174000,3,1,1,2,1,3,1,0,6,3,1,0,2
15569,1255,G,Enterpreneurial Activities,0,Male,28,Married,Employer in own family-operated farm or business,Extended Family,5,0,1,1,Single house,Strong,120,19,3,1,1373715,100538,23638,17700,16208,15728,2083,14152,12960,2245,0,5758,52056,18600,7015,3420,5580,400,12684,12700,259335,1242535,4,2,1,3,1,1,1,0,8,1,0,0,5
31422,1516,M,Other sources of Income,0,Male,68,Married,,Single Family,2,0,0,0,Single house,Strong,400,12,5,1,1371325,137462,17420,12980,17745,6114,3555,2804,65180,0,0,18220,221226,150000,37166,37602,27720,0,13932,1500,0,0,1,1,0,1,1,1,2,1,2,1,0,0,0
22532,1837,I,Other sources of Income,0,Female,45,Married,Worked for private establishment,Single Family,4,0,1,2,Single house,Strong,100,16,3,1,1370984,122814,24700,19350,11615,19270,3210,4794,31950,0,0,2360,152880,108000,3839,70440,21000,94000,24114,6715,0,0,1,1,0,0,1,1,2,1,3,2,1,0,0
2536,812,B,Wage/Salaries,0,Male,55,Married,,Single Family,6,0,2,3,Single house,Strong,60,19,3,1,1366996,297110,94118,34320,42790,65916,10141,11435,46600,4420,3620,34355,119940,42000,223560,70728,17682,40140,96018,26500,0,0,2,2,0,1,1,2,1,0,5,1,1,0,1
16957,424,H,Other sources of Income,0,Female,67,Widowed,,Single Family,4,0,1,0,Single house,Strong,100,70,2,1,1365550,101806,37401,22370,13173,11340,5095,5164,9975,0,0,10610,211482,180000,89840,22860,31680,3580,22626,12000,0,0,0,0,1,0,1,1,0,0,4,1,0,0,0
5754,2248,C,Wage/Salaries,0,Male,62,Married,Worked for government/government corporation,Extended Family,9,1,0,4,Single house,Strong,250,19,3,1,1365281,352878,61151,35595,56748,18909,7030,16576,81060,7006,23530,38977,93900,48000,5000,27696,28500,31300,94242,6000,150000,150000,2,1,1,2,1,1,2,0,5,1,0,0,1
35234,2980,N,Enterpreneurial Activities,2,Male,74,Married,Employer in own family-operated farm or business,Extended Family,5,0,0,1,Single house,Strong,78,30,4,1,1364931,220665,42137,25280,22766,29263,10845,12983,60680,860,0,25440,308484,150000,79080,49590,31794,0,92862,10000,0,914001,2,2,1,1,1,4,1,1,5,2,0,0,0
32516,262,N,Wage/Salaries,0,Male,52,Married,Worked for private establishment,Single Family,6,0,0,5,Single house,Strong,25,36,2,1,1356856,287544,36174,24180,31408,19572,9830,9343,134100,696,676,16875,155400,66000,1672,120480,23874,28000,80628,14500,0,0,2,1,1,1,1,1,0,0,6,1,0,0,0
32324,70,N,Other sources of Income,0,Female,51,Married,Self-employed wihout any employee,Extended Family,9,1,1,6,Single house,Strong,160,30,2,1,1355680,330335,48833,33100,50988,20139,4990,8751,92050,2106,11765,14010,218100,150000,17396,40056,36942,46980,55830,24200,0,125942,2,1,0,1,1,1,0,0,4,1,0,0,1
